tqq,tss,nooverlap
t9136c4,t12555c5,50
t9136c4,t12555c6,75
t9136c4,t12571c4,19
t9136c4,t12582c5,33
t9136c4,t12620c2,27
t9136c4,t12644c3,62
t9136c4,t12671c6,52
t9136c4,t12671c10,68
t9136c4,t12682c5,33
t9136c4,t12735c7,39
t9136c4,t12743c3,62
t9136c4,t12753c0,40
t9136c4,t12790c2,58
t9136c4,t12790c3,31
t9136c4,t12790c20,82
t9136c4,t12791c0,41
t9136c4,t12793c2,71
t9136c4,t12799c5,61
t9136c4,t12813c5,37
t9136c4,t12857c5,37
t9136c4,t13032c1,63
t9136c4,t13044c3,62
t9136c4,t13062c1,1
t9136c4,t13068c0,39
t9136c4,t13068c3,37
t9136c4,t12864c5,33
t9136c4,t12914c2,41
t9136c4,t12949c3,40
t9136c4,t12957c3,62
t9136c4,t12964c5,37
t9136c4,t12969c2,61
t9136c4,t12984c5,37
t9136c4,t13091c2,48
t9136c4,t13187c2,30
t9136c4,t13187c8,51
t9136c4,t13206c3,62
t9136c4,t13213c4,60
t9136c4,t13103c5,37
t9136c4,t13249c1,56
t9136c4,t13270c3,26
t9136c4,t13271c5,55
t9136c4,t13271c6,60
t9136c4,t13274c3,62
t9136c4,t13368c3,62
t9136c4,t13396c7,32
t9136c4,t13421c0,31
t9136c4,t13462c5,33
t9136c4,t13467c0,51
t9136c4,t13467c4,30
t9136c4,t13467c6,20
t9136c4,t13670c2,36
t9136c4,t13676c5,37
t9136c4,t13677c3,62
t9136c4,t13737c2,27
t9136c4,t13737c3,26
t9136c4,t13737c4,36
t9136c4,t13776c0,56
t9136c4,t13811c5,62
t9136c4,t14079c3,62
t9136c4,t13823c2,66
t9136c4,t13845c5,33
t9136c4,t13877c3,62
t9136c4,t13902c2,65
t9136c4,t13914c5,33
t9136c4,t13920c2,49
t9136c4,t13949c1,29
t9136c4,t13987c5,61
t9136c4,t14085c4,64
t9136c4,t14096c7,72
t9136c4,t14123c2,54
t9136c4,t14139c5,50
t9136c4,t14139c6,75
t9136c4,t14208c9,64
t9136c4,t14208c11,53
t9136c4,t14208c22,63
t9136c4,t14208c26,75
t9136c4,t14208c44,67
t9136c4,t14208c70,63
t9136c4,t14208c71,59
t9136c4,t14208c107,75
t9136c4,t14211c5,33
t9136c4,t14221c7,32
t9136c4,t14256c2,55
t9136c4,t14264c2,45
t9136c4,t14302c0,48
t9136c4,t14304c3,67
t9136c4,t14314c6,45
t9136c4,t14314c13,59
t9136c4,t14361c4,56
t9136c4,t14364c5,50
t9136c4,t14364c6,75
t9136c4,t14432c5,33
t9136c4,t14435c3,76
t9136c4,t14438c5,37
t9136c4,t14454c5,33
t9136c4,t14463c0,32
t9136c4,t14468c5,33
t9136c4,t14481c4,62
t9136c4,t14492c3,62
t9136c4,t14495c5,50
t9136c4,t14495c6,75
t9136c4,t14498c5,55
t9136c4,t14531c4,62
t9136c4,t14540c7,32
t9136c4,t14546c2,60
t9136c4,t14546c3,53
t9136c4,t14546c5,67
t9136c4,t14559c3,49
t9136c4,t14599c5,55
t9136c4,t14599c6,60
t9136c4,t14631c6,68
t9136c4,t14671c2,35
t9136c4,t14671c17,47
t9136c4,t14686c3,18
t9136c4,t14772c4,62
t9136c4,t14799c5,33
t9136c4,t14800c0,36
t9136c4,t14805c5,33
t9136c4,t15154c3,13
t9136c4,t14815c3,68
t9136c4,t14899c1,38
t9136c4,t14938c5,37
t9136c4,t14942c5,33
t9136c4,t14945c5,33
t9136c4,t14965c1,56
t9136c4,t14973c4,55
t9136c4,t14980c4,63
t9136c4,t14993c5,37
t9136c4,t15049c1,62
t9136c4,t15179c2,39
t9136c4,t15210c3,62
t9136c4,t15279c5,37
t9136c4,t15286c2,9
t9136c4,t15293c2,58
t9136c4,t15294c1,71
t9136c4,t15299c5,37
t9136c4,t15319c3,55
t9136c4,t15339c5,37
t9136c4,t15425c8,36
t9136c4,t15425c10,32
t9136c4,t15425c19,55
t9136c4,t15433c1,58
t9136c4,t15436c1,59
t9136c4,t15452c7,32
t9136c4,t15469c5,33
t9136c4,t15471c6,34
t9136c4,t15471c7,38
t9136c4,t15473c5,50
t9136c4,t15473c6,75
t9136c4,t15478c5,37
t9136c4,t15486c5,33
t9136c4,t15537c3,36
t9136c4,t15537c5,25
t9136c4,t15543c5,37
t9136c4,t15547c3,61
t9136c4,t15547c4,61
t9136c4,t15578c8,79
t9136c4,t15617c2,39
t9136c4,t15661c1,18
t9136c4,t15661c2,53
t9136c4,t15661c3,32
t9136c4,t15661c4,13
t9136c4,t15708c5,37
t9136c4,t15714c2,35
t9136c4,t15744c6,69
t9136c4,t15779c1,34
t9136c4,t15804c1,29
t9136c4,t15814c3,37
t9136c4,t15819c5,33
t9136c4,t15829c5,33
t9136c4,t15848c5,58
t9136c4,t15862c3,62
t9136c4,t15870c3,25
t9136c4,t15870c4,46
t9136c4,t15870c5,58
t9136c4,t15889c3,62
t9136c4,t15898c7,32
t9136c4,t15913c1,30
t9136c4,t15931c5,62
t9136c4,t15932c5,33
t9136c4,t15992c3,62
t9136c4,t15995c5,33
t9136c4,t16032c3,16
t9136c4,t16076c7,32
t9136c4,t16125c6,41
t9136c4,t16141c6,43
t9136c4,t16183c2,36
t9136c4,t16187c5,50
t9136c4,t16187c6,75
t9136c4,t16188c1,30
t9136c4,t16188c2,31
t9136c4,t16223c4,25
t9136c4,t16227c5,55
t9136c4,t16227c6,60
t9136c4,t16240c4,50
t9136c4,t16255c7,60
t9136c4,t16274c4,63
t9136c4,t16281c5,62
t9136c4,t16357c5,49
t9136c4,t16395c1,32
t9136c4,t16395c5,51
t9136c4,t16403c5,62
t9136c4,t16432c2,50
t9136c4,t16450c9,68
t9136c4,t16450c10,59
t9136c4,t16503c14,60
t9136c4,t16529c5,62
t9136c4,t16537c4,60
t9136c4,t16547c6,55
t9136c4,t16547c7,58
t9136c4,t16551c5,37
t9136c4,t16591c4,8
t9136c4,t16598c0,35
t9136c4,t16605c4,55
t9136c4,t16652c0,36
t9136c4,t16652c2,27
t9136c4,t16663c4,40
t9136c4,t16674c7,32
t9136c4,t16684c3,62
t9136c4,t16686c1,70
t9136c4,t16694c2,70
t9136c4,t16715c4,26
t9136c4,t16721c3,65
t9136c4,t16753c9,63
t9136c4,t16753c10,64
t9136c4,t16757c2,81
t9136c4,t16764c4,84
t9136c4,t16768c5,37
t9136c4,t16774c5,33
t9136c4,t16813c3,48
t9136c4,t16837c4,73
t9136c4,t16840c1,41
t9136c4,t16846c5,33
t9136c4,t17001c2,59
t9136c4,t17001c5,72
t9136c4,t16894c3,62
t9136c4,t16906c1,58
t9136c4,t16920c3,48
t9136c4,t16920c5,81
t9136c4,t16934c5,33
t9136c4,t16939c2,50
t9136c4,t17068c5,33
t9136c4,t17083c3,39
t9136c4,t17123c1,33
t9136c4,t17123c2,40
t9136c4,t17123c3,32
t9136c4,t17123c4,48
t9136c4,t17123c5,61
t9136c4,t17123c6,55
t9136c4,t17123c7,80
t9136c4,t17123c10,69
t9136c4,t17123c11,21
t9136c4,t17123c19,36
t9136c4,t17123c22,56
t9136c4,t17123c23,60
t9136c4,t17125c0,3
t9136c4,t17193c5,33
t9136c4,t17202c6,56
t9136c4,t17206c2,39
t9136c4,t17228c1,48
t9136c4,t17230c1,56
t9136c4,t17323c3,62
t9136c4,t17332c1,25
t9136c4,t17355c0,60
t9136c4,t17358c5,50
t9136c4,t17358c6,75
t9136c4,t17446c2,80
t9136c4,t17448c4,27
t9136c4,t17466c2,61
t9136c4,t17470c3,30
t9136c4,t17497c7,32
t9136c4,t17533c4,5
t9136c4,t17541c5,33
t9136c4,t17556c1,39
t9136c4,t17593c5,37
t9136c4,t17629c5,50
t9136c4,t17711c1,72
t9136c4,t17716c4,60
t9136c4,t17717c5,37
