tqq,tss,nooverlap
t1793c0,t1533c5,98
t1793c0,t1534c0,99
t1793c0,t1534c1,99
t1793c0,t1538c0,99
t1793c0,t1538c1,99
t1793c0,t1540c2,91
t1793c0,t1540c3,99
t1793c0,t1541c1,96
t1793c0,t1543c2,93
t1793c0,t1547c3,80
t1793c0,t1549c0,89
t1793c0,t1549c2,93
t1793c0,t1552c0,93
t1793c0,t1552c1,99
t1793c0,t1552c2,92
t1793c0,t1553c1,94
t1793c0,t1554c2,98
t1793c0,t1558c0,99
t1793c0,t1564c2,99
t1793c0,t1565c1,89
t1793c0,t1568c1,95
t1793c0,t1573c0,94
t1793c0,t1575c3,94
t1793c0,t1579c2,98
t1793c0,t1580c1,91
t1793c0,t1581c3,87
t1793c0,t1582c1,99
t1793c0,t1582c6,80
t1793c0,t1665c0,93
t1793c0,t1665c1,99
t1793c0,t1665c2,92
t1793c0,t1666c0,99
t1793c0,t1670c1,99
t1793c0,t1672c0,98
t1793c0,t1672c1,92
t1793c0,t1673c2,99
t1793c0,t1674c0,99
t1793c0,t1678c0,99
t1793c0,t1678c1,99
t1793c0,t1680c3,97
t1793c0,t1681c0,99
t1793c0,t1681c1,99
t1793c0,t1687c3,97
t1793c0,t1687c4,97
t1793c0,t1688c0,99
t1793c0,t1689c1,98
t1793c0,t1689c2,81
t1793c0,t1691c1,99
t1793c0,t1691c2,94
t1793c0,t1692c0,99
t1793c0,t1693c0,98
t1793c0,t1697c3,98
t1793c0,t1697c5,98
t1793c0,t1591c0,99
t1793c0,t1591c1,99
t1793c0,t1595c3,98
t1793c0,t1596c1,97
t1793c0,t1604c1,99
t1793c0,t1608c0,99
t1793c0,t1611c0,99
t1793c0,t1613c0,89
t1793c0,t1613c1,98
t1793c0,t1613c2,95
t1793c0,t1616c0,97
t1793c0,t1616c1,99
t1793c0,t1620c1,98
t1793c0,t1621c0,80
t1793c0,t1622c2,86
t1793c0,t1622c3,98
t1793c0,t1624c4,99
t1793c0,t1629c1,99
t1793c0,t1629c6,80
t1793c0,t1630c1,91
t1793c0,t1632c0,99
t1793c0,t1633c7,96
t1793c0,t1635c0,99
t1793c0,t1635c1,91
t1793c0,t1639c1,88
t1793c0,t1640c1,99
t1793c0,t1644c0,98
t1793c0,t1644c1,89
t1793c0,t1645c0,98
t1793c0,t1645c1,86
t1793c0,t1646c0,93
t1793c0,t1648c1,95
t1793c0,t1649c1,94
t1793c0,t1650c2,96
t1793c0,t1654c0,97
t1793c0,t1657c3,93
t1793c0,t1657c4,88
t1793c0,t1660c0,99
t1793c0,t1660c3,99
t1793c0,t1662c0,92
t1793c0,t1705c2,96
t1793c0,t1705c3,97
t1793c0,t1707c3,98
t1793c0,t1708c0,96
t1793c0,t1708c2,93
t1793c0,t1708c3,88
t1793c0,t1716c1,93
t1793c0,t1720c2,97
t1793c0,t1720c3,99
t1793c0,t1721c0,99
t1793c0,t1723c4,98
t1793c0,t1724c0,98
t1793c0,t1727c1,97
t1793c0,t1729c0,96
t1793c0,t1732c1,99
t1793c0,t1732c6,78
t1793c0,t1735c0,98
t1793c0,t1735c1,93
t1793c0,t1737c2,99
t1793c0,t1739c2,89
t1793c0,t1740c3,94
t1793c0,t1743c0,90
t1793c0,t1748c3,95
t1793c0,t1749c0,89
t1793c0,t1749c2,93
t1793c0,t1751c1,97
t1793c0,t1752c1,99
t1793c0,t1753c0,98
t1793c0,t1753c1,85
t1793c0,t1755c1,88
t1793c0,t1757c3,91
t1793c0,t1759c2,99
t1793c0,t1760c2,99
t1793c0,t1761c0,85
t1793c0,t1761c3,96
t1793c0,t1764c5,99
t1793c0,t1765c0,99
t1793c0,t1768c5,99
t1793c0,t1769c8,99
t1793c0,t1771c0,99
